Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,144.925000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
1,,144.937500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
2,,144.950000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
3,,144.962500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
4,,144.975000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
5,,144.987500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
6,,145.000000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
7,,145.012500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
8,,145.025000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
9,,145.037500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
10,,145.050000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
11,,146.625000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
12,,146.637500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
13,,146.650000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
14,,146.662500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
15,,146.675000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
16,,146.687500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
17,,146.700000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
18,,146.712500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
19,,146.725000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
20,,146.737500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
21,,146.750000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
22,,146.762500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
23,,146.775000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
24,,146.787500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
25,,146.800000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
26,,146.812500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
27,,146.825000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
28,,146.837500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
29,,146.850000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
30,,146.862500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
31,,146.875000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
32,,146.887500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
33,,146.900000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
34,,146.912500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
35,,146.925000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
36,,146.937500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
37,,146.950000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
38,,146.962500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
39,,146.975000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
40,,146.987500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
41,,147.000000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
42,,147.012500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
43,,147.012500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
44,,147.025000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
45,,147.025000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
46,,147.037500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
47,,147.037500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
48,,147.050000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
49,,147.050000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
50,,147.062500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
51,,147.062500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
52,,147.075000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
53,,147.075000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
54,,147.087500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
55,,147.087500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
56,,147.100000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
57,,147.100000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
58,,147.112500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
59,,147.112500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
60,,147.125000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
61,,147.125000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
62,,147.137500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
63,,147.137500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
64,,147.150000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
65,,147.150000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
66,,147.162500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
67,,147.162500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
68,,147.175000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
69,,147.175000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
70,,147.187500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
71,,147.187500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
72,,147.200000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
73,,147.200000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
74,,147.212500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
75,,147.212500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
76,,147.225000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
77,,147.225000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
78,,147.237500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
79,,147.237500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
80,,147.250000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
81,,147.250000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
82,,147.262500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
83,,147.262500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
84,,147.275000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
85,,147.275000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
86,,147.287500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
87,,147.287500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
88,,147.300000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
89,,147.300000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
90,,147.312500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
91,,147.312500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
92,,147.325000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
93,,147.325000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
94,,147.337500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
95,,147.337500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
96,,147.350000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
97,,147.350000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
98,,147.362500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
99,,147.362500,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
100,,147.375000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
101,,147.375000,-,1.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
102,,147.387500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
103,,147.625000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
104,,147.637500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
105,,147.650000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
106,,147.662500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
107,,147.700000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
108,,147.712500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
109,,147.725000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
110,,147.737500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
111,,147.750000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
112,,147.762500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
113,,147.800000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
114,,147.812500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
115,,147.825000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
116,,147.837500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
117,,147.850000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
118,,147.862500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
119,,147.875000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
120,,147.887500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
121,,147.900000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
122,,147.912500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
123,,147.925000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
124,,147.937500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
125,,147.950000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
126,,147.962500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
127,,147.975000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
